x,y,z
5,42,-987
-17,13,-1161
-29,124,-1061
156,-160,-874
-83,150,-1048
-1,-62,-1233
-50,247,-860
160,-204,-1018
-146,173,-1143
115,-91,-1044
-19,160,-786
50,-103,-1196
-17,160,-1175
156,11,-886
126,-33,-964
72,124,-1186
273,-132,-974
329,117,-886
402,-121,-1307
331,181,-927
558,-144,-874
505,11,-1223
538,39,-1130
673,-81,-884
560,154,-1124
745,-144,-1163
704,54,-757
796,-136,-1110
636,177,-1116
915,-37,-960
845,-60,-1044
819,-21,-1059
839,-115,-851
894,72,-995
977,-111,-1159
919,35,-895
841,50,-1054
956,5,-1081
1061,-62,-919
1001,-19,-1138
970,107,-1036
1173,-62,-1048
1337,-130,-1089
1059,-68,-1050
1116,113,-936
1032,68,-1169
1325,-76,-1163
1153,-95,-983
1022,-21,-1048
1251,-115,-976
1249,70,-1098
1124,-56,-1132
972,46,-886
1087,-5,-1089
1319,-199,-1134
1057,68,-895
1001,56,-1087
1153,46,-1018
1282,-85,-1054
1262,-222,-1024
1015,124,-880
1300,101,-1120
1487,-144,-1159
1169,-3,-985
1188,-146,-1056
1280,-87,-964
1301,74,-1108
1188,-156,-1063
1065,37,-911
1073,40,-1065
1325,-148,-1042
1102,107,-909
1155,29,-1001
1120,-46,-1030
1643,-80,-1110
1220,-156,-983
1198,126,-948
1202,150,-1128
1530,-236,-1141
1288,-39,-1139
1282,-40,-845
1286,7,-1022
1678,-87,-1165
1288,-17,-1098
1243,-9,-1005
1216,-130,-997
1493,-140,-1157
1182,87,-936
1095,-54,-810
1087,167,-1102
1424,39,-1036
1237,-366,-1128
1255,201,-892
1579,58,-1005
1370,-142,-1177
1522,-37,-905
1294,-283,-1067
1504,54,-1016
1612,9,-1175
1251,-93,-1130
1188,126,-833
1038,-242,-1073
1692,-80,-1149
1286,-85,-1061
1134,117,-845
1303,-11,-1026
1403,50,-1155
1530,-191,-1009
1253,-23,-974
1563,50,-952
1145,37,-1083
1421,80,-1067
1153,-626,-1167
1370,298,-1044
1411,113,-940
1087,-89,-993
1499,-242,-899
1245,25,-1216
1663,140,-1071
1130,-173,-979
1319,17,-903
1438,64,-1069
1706,-208,-1138
1102,27,-956
1262,103,-936
1235,-103,-1120
1569,-80,-1206
1225,-109,-995
1087,-126,-938
1415,132,-974
1637,-60,-1179
1342,-185,-1040
1104,9,-935
1450,169,-979
1518,60,-1177
1430,-407,-1024
1419,163,-917
1288,140,-911
1592,-130,-1147
1565,-46,-1210
1204,78,-931
1241,-242,-1005
1520,-85,-1118
1286,-44,-1136
1448,124,-839
1059,40,-940
1540,-60,-1085
1249,-87,-1097
1309,-80,-884
1292,242,-979
1661,-31,-1095
1241,-470,-976
1241,113,-942
1444,286,-1141
1545,-300,-1173
1270,-126,-1056
1272,7,-1011
1257,-85,-1054
1204,-80,-1024
1448,70,-979
985,-134,-1075
841,46,-853
1157,52,-1044
1184,189,-1141
995,-437,-1005
876,52,-979
966,52,-964
999,-253,-1120
575,425,-979
749,255,-933
774,-308,-1143
888,-435,-1130
722,-134,-1077
448,134,-950
632,259,-907
544,37,-1087
460,185,-976
441,-232,-1075
507,-107,-1157
322,17,-913
23,-242,-1052
273,361,-997
407,162,-999
339,-228,-1321
189,-60,-944
210,-144,-936
70,40,-962
111,275,-989
128,62,-1112
148,491,-952
448,5,-1100
232,-357,-1186
474,-199,-880
242,130,-1026
255,60,-1134
85,290,-1052
111,187,-1028
245,-160,-981
-17,-206,-993
271,-306,-913
349,158,-1013
83,179,-1020
226,290,-964
-17,351,-936
269,-242,-1059
72,31,-1009
208,-279,-1042
154,-128,-993
296,310,-1089
359,87,-1149
382,167,-1108
50,-46,-1026
214,-302,-1132
-5,-144,-892
-50,-134,-880
58,392,-1081
-17,177,-1036
-93,242,-958
183,242,-1128
138,-212,-1097
255,-181,-979
177,-60,-972
273,81,-1106
185,296,-1098
-126,165,-1079
78,-101,-1132
25,-445,-1098
-37,-160,-977
74,140,-929
-15,333,-942
-25,111,-1071
107,206,-1155
58,0,-999
-29,-203,-1046
130,-253,-1048
-152,208,-753
273,169,-1065
-21,204,-1097
7,181,-1116
191,-230,-1134
-156,-365,-917
204,-87,-868
27,56,-911
-50,548,-956
-64,476,-1042
58,60,-1177
17,-154,-1116
40,-433,-915
17,-91,-966
230,138,-993
-66,300,-1046
128,119,-1157
29,-199,-1198
-39,-103,-1038
87,-203,-911
-80,52,-935
105,206,-944
-81,226,-1034
-3,542,-1091
-9,-148,-1122
72,-290,-1054
0,-177,-979
80,-35,-1020
56,-31,-1079
62,189,-1050
15,103,-970
23,-337,-1136
-15,-68,-997
13,206,-913
78,173,-1013
50,279,-1011
13,249,-1032
17,-154,-1003
19,-314,-1081
1,13,-997
218,121,-1061
87,33,-1028
-103,78,-919
206,72,-987
126,-365,-1044
-167,-80,-970
50,152,-1050
9,304,-1050
-134,220,-886
50,113,-1020
-31,48,-1120
42,-249,-923
-50,-66,-1083
-11,76,-1149
46,113,-987
15,277,-989
0,-167,-1110
50,-452,-1036
-39,52,-886
52,240,-985
13,249,-1005
80,210,-1032
-23,0,-1042
-103,-81,-1050
-9,-263,-1093
-62,56,-894
-68,251,-989
107,58,-1141
-101,48,-1098
33,-146,-1022
-97,-236,-946
-5,-27,-882
58,316,-964
-181,394,-1059
-68,111,-1083
83,-50,-1136
-81,-93,-997
46,-398,-962
19,76,-1038
52,273,-1139
9,218,-1120
91,-124,-1054
-58,-148,-987
15,-195,-974
37,179,-1009
-60,470,-886
78,290,-1059
5,-11,-1102
-31,-220,-1038
-48,-111,-892
0,-214,-1038
183,160,-1157
-50,162,-1050
-76,-29,-1036
-33,-52,-1011
60,-33,-964
11,-203,-987
-87,259,-1048
95,322,-1009
37,390,-1071
156,-173,-1081
-52,-361,-991
103,-111,-1020
-95,87,-1138
