x,y,z,
-15,42,-1013,
-15,21,-1013,
-17,19,-1022,
-9,13,-1009,
-15,19,-1005,
-21,27,-1011,
-23,44,-1001,
-17,40,-1007,
-19,21,-1020,
-23,27,-1016,
-23,21,-1013,
-21,29,-1015,
-23,35,-1016,
-9,31,-1011,
-11,25,-1013,
-15,31,-1015,
-15,31,-1011,
-23,27,-1016,
-3,25,-1011,
-13,19,-1016,
-9,17,-1018,
-19,31,-1016,
-11,23,-1018,
-15,15,-1007,
-15,15,-1007,
-11,25,-1022,
-19,25,-1011,
-17,29,-1020,
-15,17,-1009,
-11,15,-1024,
-11,17,-1013,
-11,19,-1009,
1,25,-1013,
-7,17,-1018,
-5,15,-1011,
-13,15,-1026,
-17,21,-1020,
-3,19,-1016,
-11,29,-1015,
-19,19,-1018,
-17,17,-1015,
-19,27,-1016,
-19,25,-1015,
-11,11,-1020,
-15,1,-1024,
-21,17,-1020,
-7,25,-1016,
-11,25,-1018,
-7,21,-1018,
-23,15,-1026,
-17,15,-1028,
-17,21,-1024,
-11,19,-1011,
-19,19,-1020,
-1,23,-1018,
-11,21,-1016,
-17,19,-1022,
-19,21,-1016,
-13,21,-1018,
-13,15,-1009,
-7,19,-1022,
-15,25,-1018,
-19,23,-1005,
-11,23,-1013,
-11,23,-1005,
-1,25,-1011,
-21,33,-1015,
-11,27,-1011,
-5,23,-1018,
-11,31,-1009,
-25,17,-1016,
-19,19,-1022,
-13,37,-1018,
-11,39,-1024,
-7,27,-1018,
-13,27,-1026,
-9,19,-1020,
-5,29,-1024,
-21,42,-1018,
-11,33,-1022,
-19,27,-1024,
-11,33,-1024,
-13,35,-1016,
-13,29,-1016,
-3,27,-1016,
-5,19,-1018,
-13,21,-1020,
-13,27,-1013,
-9,35,-1009,
-19,23,-1011,
-23,15,-1013,
-13,15,-1009,
-7,25,-1013,
-19,31,-1007,
-19,19,-1011,
-21,23,-1018,
-15,23,-1011,
-17,29,-1013,
-21,27,-1018,
-11,13,-1011,
-11,21,-1016,
-19,17,-1015,
-23,27,-1013,
-21,31,-1015,
-15,29,-1022,
-17,29,-1016,
-19,13,-1013,
-13,15,-1030,
-5,23,-1022,
-19,29,-1016,
-21,19,-1018,
-5,19,-1015,
-5,17,-1005,
-13,35,-1022,
-17,23,-1013,
0,23,-1028,
-15,19,-1013,
-11,13,-1011,
-17,19,-1015,
-25,31,-1015,
-11,19,-1015,
-9,19,-1015,
-3,19,-1024,
-11,23,-1020,
-5,19,-1009,
-15,19,-1022,
-11,17,-1016,
-15,19,-1020,
-17,31,-1018,
-5,25,-1013,
-1,21,-1018,
0,29,-1013,
-9,15,-1018,
-13,15,-1018,
-17,27,-1013,
-17,31,-1013,
-13,21,-1026,
-15,21,-1022,
-21,19,-1022,
-13,27,-1020,
-7,33,-1018,
-9,25,-1018,
-9,15,-1016,
-9,23,-1024,
-5,42,-1016,
-7,31,-1028,
-19,19,-1028,
-11,19,-1013,
-5,29,-1022,
-11,33,-1020,
-11,27,-1013,
-15,29,-1018,
0,35,-1011,
-13,23,-1013,
-21,23,-1016,
-15,25,-1018,
-7,31,-1018,
-17,19,-1016,
-9,23,-1016,
-25,19,-1007,
